Depth,Density,P_Slowness,Gamma_Ray,Porosity_Frac,P_Impedance,P_Impedance-rel
11.8872,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
12.0396,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
12.192,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
12.3444,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
12.4968,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
12.6492,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
12.8016,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
12.954,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
13.1064,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
13.2588,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
13.4112,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
13.5636,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
13.716,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
13.8684,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
14.0208,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
14.1732,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
14.3256,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
14.478,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
14.6304,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
14.7828,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
14.9352,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
15.0876,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
15.24,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
15.3924,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
15.5448,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
15.6972,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
15.8496,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
16.002,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
16.1544,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
16.3068,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
16.4592,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
16.6116,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
16.764,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
16.9164,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
17.0688,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
17.2212,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
17.3736,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
17.526,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
17.6784,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
17.8308,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
17.9832,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
18.1356,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
18.288,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
18.4404,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
18.5928,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
18.7452,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
18.8976,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
19.05,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
19.2024,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
19.3548,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
19.5072,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
19.6596,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
19.812,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
19.9644,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
20.1168,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
20.2692,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
20.4216,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
20.574,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
20.7264,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
20.8788,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
21.0312,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
21.1836,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
21.336,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
21.4884,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
21.6408,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
21.7932,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
21.9456,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
22.098,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
22.2504,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
22.4028,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
22.5552,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
22.7076,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
22.86,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
23.0124,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
23.1648,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
23.3172,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
23.4696,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
23.622,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
23.7744,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
23.9268,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
24.0792,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
24.2316,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
24.384,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
24.5364,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
24.6888,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
24.8412,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
24.9936,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
25.146,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
25.2984,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
25.4508,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
25.6032,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
25.7556,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
25.908,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
26.0604,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
26.2128,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
26.3652,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
26.5176,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
26.67,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
26.8224,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
26.9748,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
27.1272,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
27.2796,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
27.432,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
27.5844,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
27.7368,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
27.8892,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
28.0416,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
28.194,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
28.3464,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
28.4988,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
28.6512,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
28.8036,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
28.956,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
29.1084,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
29.2608,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
29.4132,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
29.5656,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
29.718,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
29.8704,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
30.0228,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
30.1752,2077.7834,-9999.0000,-9999.0000,0.3577,4085960.0000,-3257.4099
30.3276,2077.8000,-9999.0000,-9999.0000,0.3576,4086090.0000,-3257.4099
30.48,2077.8000,-9999.0000,-9999.0000,0.3576,4086190.0000,-3257.4099
30.6324,2077.8000,-9999.0000,-9999.0000,0.3576,4086290.0000,-3257.4099
30.7848,2077.8186,-9999.0000,-9999.0000,0.3576,4086390.0000,-3257.4099
30.9372,2077.8850,-9999.0000,-9999.0000,0.3576,4086640.0000,-3203.0493
31.0896,2077.9000,-9999.0000,-9999.0000,0.3576,4086780.0000,-2996.5742
31.242,2077.9000,-9999.0000,-9999.0000,0.3576,4086880.0000,-2871.8853
31.3944,2077.9207,-9999.0000,-9999.0000,0.3575,4086980.0000,-2849.8098
31.5468,2077.9792,-9999.0000,-9999.0000,0.3575,4087220.0000,-2849.8101
31.6992,2078.0000,-9999.0000,-9999.0000,0.3575,4087380.0000,-2849.8101
31.8516,2078.0000,-9999.0000,-9999.0000,0.3575,4087470.0000,-2849.8098
32.004,2078.0000,-9999.0000,-9999.0000,0.3575,4087570.0000,-2849.8101
32.1564,2078.0227,-9999.0000,-9999.0000,0.3575,4087670.0000,-2849.8101
32.3088,2078.0757,-9999.0000,-9999.0000,0.3575,4087890.0000,-2849.8098
32.4612,2078.1000,-9999.0000,-9999.0000,0.3574,4088070.0000,-2849.8101
32.6136,2078.1000,-9999.0000,-9999.0000,0.3574,4088160.0000,-2849.8101
32.766,2078.1265,-9999.0000,-9999.0000,0.3574,4088260.0000,-2849.8098
32.9184,2078.1782,-9999.0000,-9999.0000,0.3574,4088470.0000,-2849.8101
33.0708,2078.2000,-9999.0000,-9999.0000,0.3574,4088660.0000,-2849.8101
33.2232,2078.2000,-9999.0000,-9999.0000,0.3574,4088760.0000,-2849.8098
33.3756,2078.2000,-9999.0000,-9999.0000,0.3574,4088960.0000,-2849.8101
33.528,2078.2258,-9999.0000,-9999.0000,0.3573,4089150.0000,-2849.8101
33.6804,2078.2769,-9999.0000,-9999.0000,0.3573,4089350.0000,-2849.8101
33.8328,2078.3000,-9999.0000,-9999.0000,0.3573,4089450.0000,-2849.8098
33.9852,2078.3000,-9999.0000,-9999.0000,0.3573,4089550.0000,-2849.8098
34.1376,2078.3235,-9999.0000,-9999.0000,0.3573,4089730.0000,-2849.8101
34.29,2078.3760,-9999.0000,-9999.0000,0.3573,4089940.0000,-2849.8098
34.4424,2078.4000,-9999.0000,-9999.0000,0.3573,4090040.0000,-2849.8103
34.5948,2078.4000,-9999.0000,-9999.0000,0.3573,4090140.0000,-2849.8101
34.7472,2078.4000,-9999.0000,-9999.0000,0.3572,4090240.0000,-2849.8098
34.8996,2078.4199,-9999.0000,-9999.0000,0.3572,4090410.0000,-2546.4661
35.052,2078.4775,-9999.0000,-9999.0000,0.3572,4090640.0000,-1744.722
35.2044,2078.5000,-9999.0000,-9999.0000,0.3572,4090730.0000,-1365.0653
35.3568,2078.5000,-9999.0000,-9999.0000,0.3572,4090830.0000,-1332.47
35.5092,2078.5220,-9999.0000,-9999.0000,0.3572,4090980.0000,-1332.4698
35.6616,2078.5823,-9999.0000,-9999.0000,0.3572,4091230.0000,-1332.47
35.814,2078.6000,-9999.0000,-9999.0000,0.3571,4091330.0000,-1332.47
35.9664,2078.6000,-9999.0000,-9999.0000,0.3571,4091430.0000,-1332.47
36.1188,2078.6000,-9999.0000,-9999.0000,0.3571,4091530.0000,-1332.47
36.2712,2078.6162,-9999.0000,-9999.0000,0.3571,4091660.0000,-1332.47
36.4236,2078.6860,-9999.0000,-9999.0000,0.3571,4091920.0000,-1332.47
36.576,2078.7000,-9999.0000,-9999.0000,0.3571,4092020.0000,-1332.47
36.7284,2078.7000,-9999.0000,-9999.0000,0.3571,4092120.0000,-1332.47
36.8808,2078.7000,-9999.0000,-9999.0000,0.3570,4092220.0000,-1332.47
37.0332,2078.7087,-9999.0000,-9999.0000,0.3570,4092340.0000,-1332.4698
37.1856,2078.7913,-9999.0000,-9999.0000,0.3570,4092610.0000,-1332.47
37.338,2078.8000,-9999.0000,-9999.0000,0.3570,4092710.0000,-1332.4698
37.4904,2078.8000,-9999.0000,-9999.0000,0.3570,4092810.0000,-1332.47
37.6428,2078.8000,-9999.0000,-9999.0000,0.3570,4092920.0000,-1332.47
37.7952,2078.8967,-9999.0000,-9999.0000,0.3570,4093210.0000,-1332.47
37.9476,2078.8997,-9999.0000,-9999.0000,0.3569,4093310.0000,-1332.47
38.1,2078.9000,-9999.0000,-9999.0000,0.3569,4093400.0000,-1332.47
38.2524,2078.8997,-9999.0000,-9999.0000,0.3569,4093510.0000,-1332.47
38.4048,2078.9031,-9999.0000,-9999.0000,0.3569,4093600.0000,-1332.47
38.5572,2079.0000,-9999.0000,-9999.0000,0.3569,4093890.0000,-1332.47
38.7096,2079.0000,-9999.0000,-9999.0000,0.3569,4094000.0000,-1327.2472
38.862,2079.0000,-9999.0000,-9999.0000,0.3569,4094100.0000,-1151.0333
39.0144,2079.0088,-9999.0000,-9999.0000,0.3569,4094200.0000,7.4808
39.1668,2079.0913,-9999.0000,-9999.0000,0.3568,4094480.0000,105.153
39.3192,2079.1000,-9999.0000,-9999.0000,0.3568,4094590.0000,105.153
39.4716,2079.1000,-9999.0000,-9999.0000,0.3568,4094690.0000,105.153
39.624,2079.1000,-9999.0000,-9999.0000,0.3568,4094790.0000,105.153
39.7764,2079.1143,-9999.0000,-9999.0000,0.3568,4094890.0000,105.153
39.9288,2079.1838,-9999.0000,-9999.0000,0.3568,4095150.0000,105.153
40.0812,2079.2000,-9999.0000,-9999.0000,0.3568,4095280.0000,105.153
40.2336,2079.2000,-9999.0000,-9999.0000,0.3567,4095380.0000,105.153
40.386,2079.2192,-9999.0000,-9999.0000,0.3567,4095480.0000,105.153
40.5384,2079.2852,-9999.0000,-9999.0000,0.3567,4095730.0000,105.153
40.6908,2079.3000,-9999.0000,-9999.0000,0.3567,4095880.0000,105.153
40.8432,2079.3000,-9999.0000,-9999.0000,0.3567,4095980.0000,105.153
40.9956,2079.3000,-9999.0000,-9999.0000,0.3567,4096080.0000,105.153
41.148,2079.3225,-9999.0000,12.8500,0.3567,4096180.0000,105.153
41.3004,2079.3801,-9999.0000,13.0508,0.3566,4096410.0000,105.153
41.4528,2079.4000,-9999.0000,13.5540,0.3566,4096570.0000,105.153
41.6052,2079.4000,-9999.0000,13.7500,0.3566,4096670.0000,105.153
41.7576,2079.4231,-9999.0000,13.6790,0.3566,4096770.0000,105.153
41.91,2079.4758,-9999.0000,13.1591,0.3566,4096990.0000,105.153
42.0624,2079.5000,-9999.0000,12.2275,0.3566,4097170.0000,105.153
42.2148,2079.5000,-9999.0000,11.7209,0.3566,4097270.0000,105.153
42.3672,2079.5000,-9999.0000,11.6500,0.3566,4097370.0000,105.153
42.5196,2079.5232,-9999.0000,11.8738,0.3565,4097470.0000,105.153
42.672,2079.5740,-9999.0000,12.4826,0.3565,4097670.0000,145.6477
42.8244,2079.6000,-9999.0000,13.3798,0.3565,4097860.0000,381.8716
42.9768,2079.6000,-9999.0000,14.5118,0.3565,4098060.0000,733.4966
43.1292,2079.6265,-9999.0000,15.3325,0.3565,4098250.0000,882.3531
43.2816,2079.6770,-9999.0000,15.5500,0.3565,4098450.0000,882.353
43.434,2079.7000,-9999.0000,15.4761,0.3565,4098550.0000,882.3531
43.5864,2079.7000,-9999.0000,15.3212,0.3564,4098660.0000,882.3531
43.7388,2079.7000,-9999.0000,15.2500,0.3564,4098750.0000,882.353
43.8912,2079.7244,-9999.0000,15.1785,0.3564,4098930.0000,882.3531
44.0436,2079.7773,-9999.0000,14.8074,0.3564,4099150.0000,882.353
44.196,2079.8000,-9999.0000,13.9757,0.3564,4099250.0000,882.353
44.3484,2079.8003,-9999.0000,12.8434,0.3564,4099350.0000,882.353
44.5008,2079.8000,-9999.0000,11.9082,0.3564,4099450.0000,882.353
44.6532,2079.8208,-9999.0000,11.6500,0.3563,4099610.0000,882.353
44.8056,2079.8792,-9999.0000,11.9557,0.3563,4099840.0000,882.353
44.958,2079.9000,-9999.0000,12.9251,0.3563,4099940.0000,882.353
45.1104,2079.9000,-9999.0000,13.5367,0.3563,4100040.0000,882.353
45.2628,2079.9150,-9999.0000,13.7784,0.3563,4100190.0000,882.353
45.4152,2079.9814,-9999.0000,14.1046,0.3563,4100440.0000,882.3531
45.5676,2080.0000,-9999.0000,14.8553,0.3563,4100540.0000,882.353
45.72,2080.0000,-9999.0000,16.1678,0.3562,4100640.0000,882.3531
45.8724,2080.0000,-9999.0000,16.4500,0.3562,4100740.0000,882.3531
46.0248,2080.0166,-9999.0000,16.3661,0.3562,4100870.0000,882.353
46.1772,2080.0879,-9999.0000,15.7712,0.3562,4101130.0000,882.3531
46.3296,2080.1000,-9999.0000,14.7179,0.3562,4101230.0000,882.353
46.482,2080.1000,-9999.0000,14.0488,0.3562,4101330.0000,882.353
46.6344,2080.1091,-9999.0000,13.5049,0.3562,4101450.0000,899.7307
46.7868,2080.1921,-9999.0000,13.4259,0.3562,4101730.0000,1083.1296
46.9392,2080.2000,-9999.0000,13.1697,0.3561,4101830.0000,1406.5096
47.0916,2080.2000,-9999.0000,13.1500,0.3561,4101930.0000,1430.24
47.244,2080.1997,-9999.0000,13.2306,0.3561,4102030.0000,1430.24
47.3964,2080.2000,-9999.0000,15.2016,0.3561,4102130.0000,1430.2401
47.5488,2080.2993,-9999.0000,15.2500,0.3561,4102420.0000,1430.24
47.7012,2080.3000,-9999.0000,15.2500,0.3561,4102520.0000,1430.2399
47.8536,2080.2998,-9999.0000,15.2500,0.3561,4102620.0000,1430.2401
48.006,2080.3042,-9999.0000,15.2385,0.3560,4102720.0000,1430.24
48.1584,2080.4000,-9999.0000,14.9137,0.3560,4103010.0000,1430.24
48.3108,2080.4000,-9999.0000,14.0968,0.3560,4103120.0000,1430.24
48.4632,2080.4000,-9999.0000,14.0500,0.3560,4103220.0000,1430.24
48.6156,2080.4000,-9999.0000,14.0500,0.3560,4103320.0000,1430.24
48.768,2080.4106,-9999.0000,14.0500,0.3560,4103420.0000,1430.2401
48.9204,2080.4915,-9999.0000,13.9795,0.3560,4103690.0000,1430.2399
49.0728,2080.5000,-9999.0000,13.5192,0.3559,4103810.0000,1430.24
49.2252,2080.5000,-9999.0000,13.4500,0.3559,4103910.0000,1430.2399
