Two-way-time,Amplitude
1.568,0.017305541
1.572,-0.002715196
1.576,-0.016851394
1.58,-0.020069915
1.584,-0.012508627
1.588,0.005586487
1.592,0.027344151
1.596,0.036627844
1.6,0.022160519
1.604,-0.007856175
1.608,-0.032742873
1.612,-0.039282988
1.616,-0.02820671
1.62,-0.005453778
1.624,0.021496355
1.628,0.040179664
1.632,0.038224706
1.636,0.014278349
1.64,-0.020135473
1.644,-0.046060911
1.648,-0.045277996
1.652,-0.015582422
1.656,0.020352371
1.66,0.034523691
1.664,0.023902184
1.668,0.009535514
1.672,0.005825911
1.676,0.00572455
1.68,-0.000291982
1.684,-0.006280128
1.688,-0.000365855
1.692,0.017777113
1.696,0.034786205
1.7,0.032139702
1.704,-0.00196351
1.708,-0.058175875
1.712,-0.1044082
1.716,-0.109032489
1.72,-0.064839752
1.724,0.011425822
1.728,0.087679814
1.732,0.121382471
1.736,0.086932128
1.74,0.013846317
1.744,-0.0325995
1.748,-0.02441586
1.752,0.002391912
1.756,0.001372559
1.76,-0.030338012
1.764,-0.055140237
1.768,-0.033857622
1.772,0.035301143
1.776,0.103251075
1.78,0.106524789
1.784,0.034041414
1.788,-0.054861274
1.792,-0.094407416
1.796,-0.076322986
1.8,-0.036131848
1.804,-0.002744255
